Comment,Designator,Footprint,LCSC
"0.1uF","C1","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C2","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A",""
"LED","D1,D4,D3,D6,D5,D8,D7,D10,D9","LED_SMD:LED_0805_2012Metric",""
"1N4148","D2","Diode_SMD:D_SOD-123",""
"MountingHole","H1,H2,H3,H4","polymodsmt:MountingHole_3.2mm_M3",""
"DIN-5_180degree","J1","polymodsmt:MIDI_DIN5",""
"Conn_01x16","J2,J3,J4","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical",""
"AudioJack3_Ground_Switch","J5","polymodsmt:Tayda_3.5mm_stereo_TRS_jack_A-853",""
"220","R2","Resistor_SMD:R_0805_2012Metric",""
"470","R3","Resistor_SMD:R_0805_2012Metric",""
"R_PHOTO","R4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"10K","R5,R7","Resistor_SMD:R_0805_2012Metric",""
"R_FORCE","R6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"68","R9,R8,R11,R10,R13,R12,R15,R14,R1","Resistor_SMD:R_0805_2012Metric",""
"R_POT","RV1,RV2,RV3,RV4,RV5,RV6,RV7","polymodsmt:Potentiometer_Alps_RK09K_Single_Vertical",""
"6N138","U1","Package_DIP:SMDIP-8_W9.53mm",""
"Teensy3.2","U2","teensy:Teensy30_31_32_LC",""
"4051","U4,U7,U3,U6,U5","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"74HC595","U8","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
